time,location,temperature_2m (°C),relative_humidity_2m (%),heat_index (°C),hour,heat_index,destination,city,latitude,longitude
2025-11-15T09:00:00,,26.9,79.0,,9,29.432254667475515,"Marquee Mall by Ayala Malls, Angeles, Pampanga, Philippines",Angeles City,15.15,120.58
2025-11-15T10:00:00,,27.7,78.0,,10,31.093959553837745,"Marquee Mall by Ayala Malls, Angeles, Pampanga, Philippines",Angeles City,15.15,120.58
2025-11-15T11:00:00,,27.7,82.0,,11,31.63672407753552,"Marquee Mall by Ayala Malls, Angeles, Pampanga, Philippines",Angeles City,15.15,120.58
2025-11-15T12:00:00,,28.4,78.0,,12,32.76911040561793,"Marquee Mall by Ayala Malls, Angeles, Pampanga, Philippines",Angeles City,15.15,120.58
2025-11-15T13:00:00,,28.9,74.0,,13,33.254532132931104,"Marquee Mall by Ayala Malls, Angeles, Pampanga, Philippines",Angeles City,15.15,120.58
2025-11-15T14:00:00,,29.0,73.0,,14,33.29787407955561,"Marquee Mall by Ayala Malls, Angeles, Pampanga, Philippines",Angeles City,15.15,120.58
2025-11-15T15:00:00,,28.5,72.0,,15,31.987993963944504,"Marquee Mall by Ayala Malls, Angeles, Pampanga, Philippines",Angeles City,15.15,120.58
2025-11-15T16:00:00,,27.6,81.0,,16,31.25201924140456,"Marquee Mall by Ayala Malls, Angeles, Pampanga, Philippines",Angeles City,15.15,120.58
2025-11-15T17:00:00,,26.7,85.0,,17,29.48056154619557,"Marquee Mall by Ayala Malls, Angeles, Pampanga, Philippines",Angeles City,15.15,120.58
2025-11-15T18:00:00,,25.8,87.0,,18,27.4625964342579,"Marquee Mall by Ayala Malls, Angeles, Pampanga, Philippines",Angeles City,15.15,120.58
2025-11-15T19:00:00,,25.1,90.0,,19,25.88044007130439,"Marquee Mall by Ayala Malls, Angeles, Pampanga, Philippines",Angeles City,15.15,120.58
2025-11-15T20:00:00,,25.0,89.0,,20,25.682844077777872,"Marquee Mall by Ayala Malls, Angeles, Pampanga, Philippines",Angeles City,15.15,120.58
